"","labeled_distinct_regions","name_with_luxury","room_type","minimum_nights","number_of_reviews","reviews_per_month","availability_per_day"
"225",3,1,"Private room",1,2,0.05,0
"226",3,1,"Private room",7,2,0.04,0
"227",2,1,"Entire home/apt",2,0,0,0
"228",3,1,"Entire home/apt",4,15,0.31,0.0136986301369863
"229",3,1,"Entire home/apt",5,0,0,0
"230",3,1,"Private room",1,1,0.02,0
"231",3,1,"Entire home/apt",4,11,0.23,0
"232",2,1,"Private room",3,0,0,0
"233",2,1,"Entire home/apt",5,3,0.06,0.43013698630137
"234",3,1,"Private room",3,1,0.02,0.00821917808219178
"235",4,1,"Entire home/apt",2,13,0.27,1
"236",2,1,"Entire home/apt",3,3,0.06,0
"237",4,1,"Entire home/apt",4,4,0.09,0
"238",2,1,"Entire home/apt",3,123,2.53,0.578082191780822
"239",3,1,"Entire home/apt",1,0,0,0
"240",3,1,"Entire home/apt",3,36,0.75,0.232876712328767
"241",3,1,"Private room",1,1,0.02,0
"242",3,1,"Entire home/apt",3,11,0.23,0.00547945205479452
"243",2,1,"Entire home/apt",2,18,0.38,0
"244",2,1,"Entire home/apt",7,11,0.24,0.616438356164384
"245",3,1,"Entire home/apt",2,30,0.62,0.00547945205479452
"246",3,1,"Entire home/apt",10,0,0,0
"247",3,1,"Entire home/apt",2,2,0.04,0
"248",3,1,"Entire home/apt",5,0,0,0
"249",3,1,"Private room",2,148,3.16,0.367123287671233
"250",3,1,"Private room",1,2,0.04,0
"251",3,1,"Entire home/apt",1,6,0.13,0
"252",2,1,"Private room",3,2,0.04,0
"253",2,1,"Entire home/apt",3,130,2.72,0.594520547945205
"254",3,1,"Entire home/apt",2,145,3.05,0.816438356164384
"255",3,1,"Entire home/apt",4,19,0.43,0.93972602739726
"256",3,1,"Entire home/apt",1,0,0,0
"257",3,1,"Private room",3,19,0.43,0
"258",2,1,"Entire home/apt",2,39,0.84,0.904109589041096
"259",3,1,"Entire home/apt",2,3,0.06,0
"260",3,1,"Entire home/apt",2,9,0.25,0
"261",2,1,"Entire home/apt",2,2,0.04,0
"262",2,1,"Entire home/apt",6,28,0.68,0
"263",2,1,"Entire home/apt",1,0,0,0
"264",2,1,"Entire home/apt",30,0,0,0
"265",2,1,"Entire home/apt",1,0,0,0
"266",3,1,"Entire home/apt",6,17,0.37,0
"267",2,1,"Entire home/apt",1,287,7.31,0.843835616438356
"268",3,1,"Entire home/apt",30,3,0.07,0.441095890410959
"269",2,1,"Private room",3,0,0,0
"270",3,1,"Entire home/apt",29,9,0.24,0.767123287671233
"271",3,1,"Entire home/apt",3,0,0,0
"272",3,1,"Entire home/apt",1,126,2.7,0.926027397260274
"273",3,1,"Private room",1,2,0.04,0
"274",2,1,"Entire home/apt",13,1,0.02,0
"275",3,1,"Private room",3,18,0.39,0.991780821917808
"276",3,1,"Entire home/apt",5,1,0.02,0
"277",4,1,"Entire home/apt",480,0,0,1
"278",3,1,"Private room",1,5,0.11,0
"279",3,1,"Entire home/apt",6,15,0.44,0.997260273972603
"280",3,1,"Entire home/apt",120,0,0,0
"281",3,1,"Private room",2,58,2.16,0.115068493150685
"282",2,1,"Entire home/apt",5,2,0.04,0
"283",3,1,"Entire home/apt",7,1,0.03,0
"284",4,1,"Entire home/apt",2,57,1.26,0.868493150684931
"285",3,1,"Entire home/apt",2,3,0.07,0
